desc,fea1,fea2,fea3,fea21,fea22,fea23,similarity,label
model,4,2,1,4,2,1,0.621148,hoax
model,0,1,0,0,1,0,0.508957,hoax
model,0,0,0,0,0,0,0.383155,unknown
model,1,1,0,1,1,0,0.902283,fact
model,2,1,0,2,1,0,0.721573,hoax
model,7,2,0,7,2,0,0.764719,hoax
model,2,1,0,2,1,0,0.567836,hoax
model,1,1,0,1,0,0,0.635501,hoax
model,3,1,0,3,0,0,0.842514,hoax
model,1,1,0,1,0,0,0.635501,hoax
model,2,1,0,1,1,0,0.334484,hoax
model,3,3,0,3,3,0,0.649057,hoax
model,3,0,0,3,0,0,0.690829,hoax
model,5,3,0,5,3,0,0.174086,unknown
model,14,8,0,10,6,0,0.104138,unrelated
model,9,0,0,6,0,0,0.247385,unrelated
model,1,0,0,1,0,0,0.886798,hoax
model,0,0,0,0,0,0,0.04641,unrelated
model,6,0,0,6,0,0,0.438683,hoax
model,1,0,0,1,0,0,0.768894,hoax
model,7,0,0,7,0,0,0.474779,hoax
model,3,0,0,3,0,0,0.491329,hoax
model,19,0,0,19,0,0,0.785215,hoax
model,10,0,0,10,0,0,0.670774,hoax
model,4,0,0,4,0,0,0.637584,unrelated
model,4,0,0,4,0,0,0.59731,hoax
model,1,0,0,1,0,0,0.37953,hoax
model,13,1,0,12,1,0,0.807465,hoax
model,3,0,0,3,0,0,0.459322,hoax
model,1,0,0,1,0,0,0.32387,unknown
model,0,0,1,0,0,1,0.505049,fact
model,17,1,0,17,1,0,0.855827,hoax
model,0,0,0,0,0,0,0.261787,unrelated
model,1,0,0,1,0,0,0.418933,unknown
model,1,0,0,1,0,0,0.253032,unknown
model,3,0,0,3,0,0,0.500012,fact
model,8,6,1,8,6,1,0.399757,unrelated
model,14,0,0,14,0,0,0.78844,hoax
model,7,0,0,6,0,0,0.71451,hoax
model,7,0,0,7,0,0,0.637609,hoax
model,6,0,0,6,0,0,0.68315,hoax
model,6,0,0,6,0,0,0.564466,hoax
model,4,1,0,4,1,0,0.485359,unrelated
model,6,0,0,6,0,0,0.710112,hoax
model,13,1,0,12,1,0,0.701136,hoax
model,15,0,0,14,0,0,0.498943,hoax
model,4,0,0,4,0,0,0.422855,hoax
model,9,0,0,7,0,0,0.317842,hoax
model,1,0,0,1,0,0,0.898581,unknown
model,0,0,0,0,0,0,0.268412,unknown
model,0,0,0,0,0,0,0.828813,unknown
model,0,0,0,0,0,0,0.0339941,unrelated
model,7,0,1,7,0,1,0.65707,hoax
model,3,0,1,3,0,1,0.650523,hoax
model,3,0,0,3,0,0,0.454475,unknown
model,2,0,0,2,0,0,0.170505,fact
model,4,0,0,4,0,0,0.508798,unknown
model,0,0,0,0,0,0,0.805039,fact
model,0,0,0,0,0,0,0.169402,hoax
model,1,0,0,1,0,0,0.240881,fact
model,1,1,0,1,1,0,0.407394,fact
model,0,0,0,0,0,0,0.26221,fact
model,2,0,1,2,0,1,0.467026,hoax
model,2,0,0,2,0,0,0.8446,hoax
model,6,0,0,4,0,0,0.249525,unrelated
model,2,0,0,2,0,0,0.526525,unrelated
model,13,1,0,12,1,0,0.324609,hoax
model,1,0,0,1,0,0,0.788363,hoax
model,1,0,0,1,0,0,0.985438,hoax
model,0,0,0,0,0,0,0.00211343,unrelated
model,10,0,0,8,0,0,0.639553,hoax
model,3,0,0,0,0,0,0.645597,hoax
model,24,0,0,22,0,0,0.597299,fact
model,6,0,0,5,0,0,0.381636,fact
model,0,0,0,0,0,0,0.0205074,unrelated
model,16,0,0,15,0,0,0.797565,fact
model,11,1,0,9,0,0,0.720778,fact
model,20,1,0,20,1,0,0.774726,fact
model,9,2,0,9,2,0,0.655772,unrelated
model,0,0,0,0,0,0,0.0322757,unrelated
model,0,0,0,0,0,0,0.014594,unrelated
model,0,0,0,0,0,0,0.923823,unknown
model,0,0,0,0,0,0,0.790564,fact
model,1,0,0,1,0,0,0.0773162,fact
model,11,0,0,2,0,0,0.313455,hoax
model,0,0,0,0,0,0,0.497889,fact
model,1,0,0,1,0,0,0.0747647,fact
model,3,0,0,3,0,0,0.612767,hoax
model,0,0,0,0,0,0,0.297856,fact
model,0,0,0,0,0,0,0.420294,unrelated
model,0,0,0,0,0,0,1.86265e-09,unrelated
model,7,1,0,7,1,0,0.638029,fact
model,3,1,0,3,1,0,0.415542,unrelated
model,0,0,0,0,0,0,0.0196013,unrelated
model,0,0,0,0,0,0,0.868489,fact
model,0,0,0,0,0,0,-3.72529e-09,unrelated
model,1,1,0,0,0,0,0.686007,fact
model,0,0,0,0,0,0,-0.000589766,unrelated
model,1,0,0,0,0,0,0.360181,fact
model,0,0,0,0,0,0,0.00608733,unrelated
model,0,0,0,0,0,0,0.0459542,fact
model,0,0,0,0,0,0,0.913921,fact
model,2,0,0,1,0,0,0.484937,unrelated
model,0,0,0,0,0,0,0.49284,unrelated
model,3,0,0,3,0,0,0.354512,unrelated
model,1,0,0,1,0,0,0.479769,hoax
model,0,0,0,0,0,0,0.64059,unknown
model,1,0,0,1,0,0,0.514875,hoax
model,3,0,0,3,0,0,0.870125,hoax
model,0,0,0,0,0,0,0.300529,unrelated
model,1,0,0,1,0,0,0.527706,unknown
model,1,0,0,1,0,0,0.502514,unknown
model,0,0,0,0,0,0,0.451575,unknown
model,0,0,0,0,0,0,0.0320755,unrelated
model,0,0,0,0,0,0,0.477287,unknown
model,0,0,0,0,0,0,0.960073,fact
model,0,0,0,0,0,0,0.517278,hoax
model,7,0,0,7,0,0,0.837729,fact
model,1,2,1,1,2,1,0.309158,unrelated
model,3,1,1,3,1,1,0.507524,unrelated
model,0,1,0,0,1,0,0.502228,unknown
model,0,0,0,0,0,0,0.0147844,unrelated
model,3,1,1,3,1,1,0.509668,unrelated
model,0,0,0,0,0,0,0.452875,fact
model,0,0,0,0,0,0,0.31319,unknown
model,0,1,0,0,1,0,0.469999,unrelated
model,4,0,0,4,0,0,0.977264,hoax
model,1,1,0,0,1,0,0.143054,unrelated
model,2,0,0,1,0,0,0.412581,fact
model,0,0,0,0,0,0,0.0,unrelated
model,0,4,0,0,2,0,0.418135,fact
model,1,0,0,1,0,0,0.922223,fact
model,0,0,0,0,0,0,0.189548,fact
model,0,0,0,0,0,0,0.764854,fact
model,1,0,0,1,0,0,0.180465,unknown
model,1,0,0,1,0,0,0.605857,unknown
model,2,2,0,2,2,0,0.505779,hoax
model,0,0,0,0,0,0,0.271831,unknown
model,2,0,1,2,0,0,0.904491,hoax
model,0,0,0,0,0,0,0.590985,unrelated
model,1,0,0,1,0,0,0.265604,unrelated
model,0,0,0,0,0,0,0.00249617,unrelated
model,0,0,0,0,0,0,0.00355505,unrelated
model,0,0,0,0,0,0,0.00249617,unrelated
model,0,0,0,0,0,0,0.929337,hoax
model,0,0,0,0,0,0,0.442103,unrelated
model,0,0,2,0,0,2,0.601232,fact
model,0,0,0,0,0,0,0.302318,unrelated
model,0,0,0,0,0,0,0.0268084,unrelated
model,0,2,1,0,2,1,0.731439,fact
model,2,0,0,0,0,0,0.260102,fact
model,1,0,0,1,0,0,0.804726,fact
model,0,2,1,0,2,1,0.505062,unrelated
model,0,0,0,0,0,0,0.148104,unrelated
model,2,0,0,1,0,0,0.166499,unrelated
model,1,0,1,1,0,1,0.657125,hoax
model,0,1,1,0,1,1,0.228316,unrelated
